ID_Code,Group,Credits_feeling_Self,Credits_feeling_Other,Self_K,Other_K,self_k_minus_other_k,other_k_minus_self
101,1,5.5,5,0.07,0.10,-0.03,0.03
102,1,6.1,5.1,0.07,0.08,-0.01,0.01
103,1,6,6,0.02,0.02,0.00,0.00
104,1,8.6,9,0.04,0.06,-0.02,0.02
105,1,6,6,0.50,0.50,0.00,0.00
107,1,7.9,4.4,0.00,0.05,-0.05,0.05
108,1,7,7,0.13,0.13,0.00,0.00
109,1,7.8,5.9,0.05,0.06,-0.01,0.01
112,1,9,8.7,0.12,0.19,-0.07,0.07
113,1,6.9,7,0.05,0.07,-0.02,0.02
114,1,7.1,5.9,0.08,0.11,-0.02,0.02
115,1,7,8.1,0.05,0.15,-0.10,0.10
116,1,8.9,0,0.09,1.50,-1.41,1.41
117,1,8.4,7.7,0.06,0.17,-0.11,0.11
119,1,4.4,6.8,0.42,0.51,-0.10,0.10
120,1,6.8,5,0.00,0.18,-0.18,0.18
121,1,8,8,0.10,0.16,-0.07,0.07
122,1,7,6,0.10,0.12,-0.02,0.02
123,1,7.2,4.2,0.06,0.34,-0.28,0.28
124,1,9,9,0.02,0.02,0.00,0.00
125,1,9,9,0.02,0.02,0.00,0.00
126,1,5.6,6.1,0.14,0.17,-0.03,0.03
127,1,8.9,9,0.06,0.10,-0.04,0.04
128,1,6,7.1,0.06,0.10,-0.03,0.03
129,1,8.1,6.1,0.09,0.17,-0.08,0.08
130,1,8.1,8.2,0.09,0.09,0.01,-0.01
131,1,2.1,9,0.21,0.09,0.12,-0.12
132,1,8,8.1,0.09,0.11,-0.02,0.02
133,1,6,8.1,0.10,0.08,0.02,-0.02
134,1,8.1,7,0.00,0.11,-0.11,0.11
135,1,7.2,7.8,0.12,0.19,-0.07,0.07
136,1,9,7.1,0.05,0.09,-0.04,0.04
137,1,8,6.6,0.17,0.30,-0.13,0.13
138,1,7.8,7,0.00,0.69,-0.69,0.69
139,1,8.9,8.1,0.02,0.02,0.00,0.00
140,1,9,8.5,0.00,0.14,-0.14,0.14
141,1,6,8,0.13,0.12,0.00,0.00
142,1,6,6,0.07,0.31,-0.24,0.24
143,1,8.9,7.8,0.02,0.09,-0.07,0.07
144,1,7,8.1,0.14,0.11,0.03,-0.03
145,1,8,6,0.10,0.12,-0.02,0.02
146,1,8.1,8,0.08,0.08,0.00,0.00
147,1,7.5,7.4,0.12,0.14,-0.02,0.02
148,1,7.1,7,0.14,0.16,-0.03,0.03
149,1,7,6.1,0.02,0.29,-0.27,0.27
150,1,8,8.1,0.02,0.07,-0.05,0.05
151,1,6.1,6.5,0.06,0.17,-0.11,0.11
102DW,1,8.1,5.4,0.09,0.47,-0.39,0.39
103DK,1,9,9,0.14,0.16,-0.02,0.02
104DD,1,9,8.1,0.06,0.07,-0.01,0.01
105VL,1,8.3,7.3,0.10,0.13,-0.04,0.04
106JH,1,6.1,7.4,0.13,0.15,-0.01,0.01
107AP,1,5.6,5.2,0.11,0.11,0.00,0.00
